name,online_order,book_table,rate,votes,location,rest_type,cuisines,average cost for 2
Jalsa,Yes,Yes,4.1,775,Banashankari,Casual Dining,Chinese Indian Mughlai North,800.0
Spice Elephant,Yes,No,4.1,787,Banashankari,Casual Dining,Chinese Indian North Thai,800.0
San Churro Cafe,Yes,No,3.8,918,Banashankari,Cafe Casual Dining,Cafe Italian Mexican,800.0
Addhuri Udupi Bhojana,No,No,3.7,88,Banashankari,Bites Quick,Indian Indian North South,300.0
Grand Village,No,No,3.8,166,Basavanagudi,Casual Dining,Indian North Rajasthani,600.0
Timepass Dinner,Yes,No,3.8,286,Basavanagudi,Casual Dining,Indian North,600.0
Onesta,Yes,Yes,4.6,2556,Banashankari,Cafe Casual Dining,Cafe Italian Pizza,600.0
Penthouse Cafe,Yes,No,4.0,324,Banashankari,Cafe,Cafe Continental Italian,700.0
Smacznego,Yes,No,4.2,504,Banashankari,Cafe,Beverages Cafe Italian Mexican Momos,550.0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,Banashankari,Cafe,Cafe,500.0
Cafe Shuffle,Yes,Yes,4.2,150,Banashankari,Cafe,Cafe Continental Italian,600.0
The Coffee Shack,Yes,Yes,4.2,164,Banashankari,Cafe,Cafe Chinese Continental Italian,500.0
Caf-Eleven,No,No,4.0,424,Banashankari,Cafe,Cafe Continental,450.0
San Churro Cafe,Yes,No,3.8,918,Banashankari,Cafe Casual Dining,Cafe Italian Mexican,800.0
Cafe Vivacity,Yes,No,3.8,90,Banashankari,Cafe,Cafe,650.0
Catch-up-ino,Yes,No,3.9,133,Banashankari,Cafe,Cafe Chinese Continental Fast Food Momos,800.0
Kirthi's Biryani,Yes,No,3.8,144,Banashankari,Cafe,Cafe Chinese Italian,700.0
T3H Cafe,No,No,3.9,93,Banashankari,Cafe,American Cafe Italian,300.0
The Vintage Cafe,Yes,No,3.0,62,Banashankari,Cafe,Cafe French Indian North,400.0
Woodee Pizza,Yes,No,3.7,180,Banashankari,Cafe,Beverages Cafe Fast Food Pizza,500.0
My Tea House,Yes,No,3.6,62,Banashankari,Bites Cafe Quick,Cafe European Fast Food Italian,600.0
Srinathji's Cafe,No,No,3.8,148,Basavanagudi,Cafe Casual Dining,Cafe Chinese Fast Food Indian North,550.0
Redberrys,Yes,No,4.0,219,Basavanagudi,Cafe,Cafe Italian,600.0
Foodiction,Yes,No,2.8,506,Banashankari,Bites Quick,Burger Chinese Fast Food Indian North,500.0
Ovenstory Pizza,Yes,No,3.9,172,Banashankari,Delivery,Pizza,750.0
Faasos,Yes,No,4.2,415,Banashankari,Bites Quick,Biryani Fast Food Indian North,500.0
Behrouz Biryani,Yes,No,3.9,230,Banashankari,Delivery,Biryani,650.0
Szechuan Dragon,Yes,No,4.2,1647,Banashankari,Casual Dining,Chinese Momos Thai,600.0
Empire Restaurant,Yes,No,4.4,4884,Jayanagar,Casual Dining,Chinese Indian Indian Mughlai North South,750.0
Chaatimes,Yes,No,3.8,133,Basavanagudi,Bites Quick,Fast Food Food Street,200.0
McDonald's,Yes,No,3.9,286,Banashankari,Bites Quick,Burger Fast Food,500.0
Domino's Pizza,Yes,No,3.9,540,Banashankari,Bites Quick,Fast Food Pizza,800.0
Onesta,Yes,Yes,4.6,2556,Banashankari,Cafe Casual Dining,Cafe Italian Pizza,600.0
Hotboxit,No,No,3.8,36,Banashankari,Delivery,Continental Indian Italian North,400.0
Kitchen Garden,Yes,No,3.6,244,Kumaraswamy Layout,Bites Quick,Chinese Indian North,300.0
Recipe,Yes,No,4.0,804,Kumaraswamy Layout,Casual Dining,Biryani Chinese Indian North Rolls,450.0
Beijing Bites,Yes,No,3.7,679,Rajarajeshwari Nagar,Casual Dining,Chinese Thai,850.0
Tasty Bytes,Yes,No,3.1,245,Kumaraswamy Layout,Bites Quick,Chinese Indian Momos North Rolls,300.0
Corner House Ice Cream,No,No,4.3,345,Banashankari,Dessert Parlor,Cream Desserts Ice,400.0
Biryanis And More,Yes,No,4.0,618,Jayanagar,Casual Dining,Andhra Biryani Chinese Indian Indian North South,750.0
Roving Feast,No,No,4.0,1047,Banashankari,Bites Quick,Chinese Continental Fast Food Italian Momos,450.0
FreshMenu,Yes,No,3.9,627,Banashankari,Delivery,American Biryani Burger Chinese Continental Food Healthy Indian North Salad,450.0
Wamama,Yes,Yes,4.2,354,Banashankari,Casual Dining,Asian Chinese Indonesian Japanese Korean Momos Thai,800.0
Peppy Peppers,No,No,4.2,244,Banashankari,Casual Dining,Indian Italian Mexican North,800.0
Goa 0 Km,Yes,Yes,3.6,163,Kumaraswamy Layout,Casual Dining,Biryani Chinese Goan Indian North Seafood,800.0
1947,No,Yes,4.0,808,Banashankari,Casual Dining,Chinese Indian North,850.0
Kabab Magic,Yes,No,4.1,1720,Basavanagudi,Bites Quick,Chinese Fast Food Indian Kebab North,400.0
Gustoes Beer House,No,No,4.1,868,Banashankari,Pub,Chinese Continental Indian Italian Mexican North Steak,1200.0
The Biryani Cafe,No,No,4.1,520,Banashankari,Bites Quick,Biryani Chinese Kebab,300.0
Rolls On Wheels,No,No,3.6,299,Banashankari,Bites Quick,Fast Food Momos Rolls,300.0
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,Basavanagudi,Bites Quick,Indian South,150.0
Upahar Sagar,No,No,3.8,39,Banashankari,Bites Quick,Chinese Indian Indian North South,350.0
Frozen Bottle,Yes,No,4.2,146,Banashankari,Beverage Shop,Beverages Cream Desserts Ice,400.0
Meghana Foods,Yes,No,4.4,4401,Jayanagar,Casual Dining,Biryani Chinese Indian North,600.0
Nandhini Deluxe,No,No,2.6,283,Banashankari,Casual Dining,Indian North,600.0
Vi Ra's Bar and Restaurant,No,No,3.3,62,Banashankari,Bar,Chinese Indian Indian North South,800.0
Chatar Patar,No,No,3.7,65,Banashankari,Bites Quick,Fast Food Food Street,300.0
Polar Bear,Yes,No,3.8,71,Basavanagudi,Dessert Parlor,Beverages Cream Desserts Ice Sandwich,400.0
Kidambi's Kitchen,No,No,3.5,52,Banashankari,Bites Quick,Indian South,300.0
Mane Thindi,No,No,3.7,130,Banashankari,Bites Quick,Indian South,200.0
Floured-Baked With Love,No,No,3.8,45,Banashankari,Delivery Takeaway,Bakery,400.0
Bengaluru Coffee House,Yes,No,4.1,201,Banashankari,Bites Quick,Chinese Food Indian Indian North South Street,300.0
Anna Kuteera,Yes,No,4.0,771,Banashankari,Casual Dining,Chinese Indian Indian North South,450.0
Darbar,No,No,3.0,98,Banashankari,Bar,Chinese Indian North,800.0
Sri Udupi Food Hub,Yes,Yes,4.1,175,Jayanagar,Casual Dining,Beverages Chinese Indian Indian North South,500.0
House Of Kebabs,Yes,No,3.8,540,Basavanagudi,Casual Dining,Biryani Chinese Indian Kebab North,650.0
Roll N Rock,Yes,No,3.8,124,Kumaraswamy Layout,Bites Quick,Chinese Indian Mughlai North Rolls,400.0
BOX8- Desi Meals,Yes,No,4.1,340,Banashankari,Delivery Takeaway,Fast Food Indian Mughlai North,500.0
KFC,Yes,No,3.8,505,Banashankari,Bites Quick,Burger Fast Food,450.0
Roll Over,Yes,No,4.1,438,Jayanagar,Dessert Parlor,Beverages Cream Desserts Fast Food Ice Sandwich,500.0
Imperial Restaurant,Yes,No,3.7,264,Mysore Road,Casual Dining,Beverages Biryani Chinese Indian North,750.0
Wahab,Yes,No,3.7,97,Jayanagar,Bites Quick,Chinese Indian Mughlai North,350.0
Canton,Yes,No,3.6,195,Jayanagar,Casual Dining,Biryani Chinese Seafood,800.0
The Blue Wagon - Kitchen,Yes,No,4.6,228,Jayanagar,Cafe,Beverages Cafe,400.0
Patio 805,Yes,Yes,4.1,364,Jayanagar,Casual Dining,Asian Chinese Thai Vietnamese,1200.0
Lassi Corner,Yes,No,3.7,107,Basavanagudi,Beverage Shop,Beverages Cream Ice,150.0
Sagar Deluxe,Yes,No,3.2,167,Kumaraswamy Layout,Bites Quick,Chinese Indian Indian Juices North South,300.0
Energy Addaa,Yes,No,4.2,64,Basavanagudi,Bites Quick,Burger Desserts Food Healthy Juices Pizza Salad Sandwich,500.0
Tandoori Knight,Yes,No,3.0,290,Banashankari,Bites Quick,Biryani Chinese Indian Kebab North,450.0
Dev Sagar - Food Street,Yes,No,4.1,233,Basavanagudi,Bites Quick,Food Street,200.0
Mitraa Da Pizza,Yes,No,3.8,115,Kumaraswamy Layout,Bites Quick,Fast Food Pizza,250.0
Grazers,Yes,Yes,3.9,291,Jayanagar,Cafe,Burger Cafe Continental Desserts Italian,650.0
Shakes Theory,Yes,No,4.5,155,Jayanagar,Beverage Shop,Beverages Sandwich,300.0
@Italy,Yes,No,4.1,305,Kumaraswamy Layout,Casual Dining,Italian,700.0
Old Mumbai Ice Cream,Yes,No,3.9,38,Banashankari,Dessert Parlor,Cream Ice,150.0
Donne Biriyani House,Yes,No,3.9,441,Banashankari,Bites Quick,Biryani Chinese Indian Indian North South,400.0
Kedia's Fun Food,Yes,No,4.3,630,Jayanagar,Bites Quick,Food Indian Juices North Street,200.0
Just Shawarma,Yes,No,3.9,160,Kumaraswamy Layout,Bites Quick,Arabian,300.0
Mini Punjabi Dhaba,Yes,No,4.2,287,Banashankari,Bites Quick,Indian North,350.0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,Banashankari,Cafe,Cafe,500.0
Gokul Veg,Yes,No,3.8,469,Basavanagudi,Casual Dining,Beverages Chinese Indian North,750.0
Olive - Era,Yes,No,3.3,511,Kumaraswamy Layout,Casual Dining,Arabian BBQ Chinese Desserts Indian Juices Kebab North Rolls,550.0
Gama Gama,Yes,No,3.9,264,Banashankari,Bites Quick,Indian South,200.0
The Vintage Cafe,Yes,No,3.0,62,Banashankari,Cafe,Cafe French Indian North,400.0
Pizza Hut,Yes,No,3.8,693,Banashankari,Casual Dining,Fast Food Pizza,750.0
Mangalore Pearl,Yes,No,3.8,242,Jayanagar,Casual Dining,Biryani Chinese Mangalorean Seafood,650.0
Twiststick House,Yes,No,4.1,163,Basavanagudi,Bites Quick,Continental Fast Food Food Momos Street,500.0
Cool Corner,Yes,No,4.2,191,Basavanagudi,Bites Quick,Fast Food Food Street,250.0
Pizza Mane,Yes,No,3.5,32,Banashankari,Bites Quick,Burger Fast Food Pizza Sandwich,150.0
Dal Tadkaa,Yes,No,2.5,247,Banashankari,Casual Dining,Indian North,500.0
Chutney Chang,Yes,Yes,4.1,2339,Jayanagar,Casual Dining,BBQ Chinese Indian North,1500.0
Mystique Palate,Yes,No,4.1,337,Jayanagar,Bites Quick,Chinese Fast Food,300.0
Thamboola,Yes,No,3.9,135,Banashankari,Casual Dining,Chinese Continental Indian North,800.0
Castle Rock,Yes,No,3.6,172,Uttarahalli,Casual Dining,Chinese Indian North,700.0
Vietnamese Kitchen,Yes,No,3.6,105,Banashankari,Casual Dining,Vietnamese,700.0
Smacznego,Yes,No,4.2,504,Banashankari,Cafe,Beverages Cafe Italian Mexican Momos,550.0
Toscano,Yes,Yes,4.3,1129,Jayanagar,Casual Dining,Italian Salad,1300.0
Stoned Monkey,Yes,No,4.3,860,Banashankari,Dessert Parlor,Cream Desserts Ice,500.0
Central Jail Restaurant,Yes,No,3.8,412,Jayanagar,Casual Dining,Andhra Chinese Indian North Seafood,700.0
Bella,Yes,Yes,3.9,142,Jayanagar,Casual Dining,Indian Mangalorean Seafood South,1000.0
New Prashanth Hotel,Yes,No,3.6,143,Jayanagar,Casual Dining,Biryani Chinese Indian Indian North South,750.0
Karma Kaapi,Yes,No,4.4,181,Jayanagar,Beverage Shop,Beverages Tea,250.0
Tiwari's,Yes,No,3.8,70,Jayanagar,Bites Quick,Food Indian North Street,200.0
Pizza Stop,Yes,No,3.8,164,Basavanagudi,Bites Quick,Italian Pizza,600.0
Biggies Burger 'n' More,Yes,No,3.6,58,Kumaraswamy Layout,Bites Quick,Beverages Burger Cafe,650.0
Srinathji's Cafe,No,No,3.8,148,Basavanagudi,Cafe Casual Dining,Cafe Chinese Fast Food Indian North,550.0
Kollapuri's,No,No,3.9,206,Basavanagudi,Bites Quick,Indian Mangalorean South,450.0
RS Shiv Sagar,No,No,3.7,217,Basavanagudi,Casual Dining,Chinese Fast Food Indian Indian Juices North South,450.0
Harshi Super Sandwich,No,No,3.8,148,Basavanagudi,Bites Quick,Fast Food Food Street,150.0
Ugadi,Yes,No,2.9,177,Jayanagar,Casual Dining,Andhra Biryani Chinese Indian Mangalorean North,700.0
Subway,Yes,No,3.7,136,Banashankari,Bites Quick,Fast Food Salad,600.0
The Lassi Park,Yes,No,4.1,185,Jayanagar,Bites Quick,Desserts Juices,200.0
A2B - Adyar Ananda Bhavan,Yes,No,3.8,155,Mysore Road,Casual Dining,Chinese Food Indian Indian North South Street,400.0
Srikrishna Bhavan,Yes,No,3.8,42,Banashankari,Bites Quick,Chinese Indian Indian North South,300.0
Timepass Dinner,Yes,No,3.8,286,Basavanagudi,Casual Dining,Indian North,600.0
Green Gardenia,Yes,No,3.8,160,Banashankari,Casual Dining,Chinese Indian North,700.0
