location,rest_type,cuisines
Marathahalli,Dessert Parlor,"Desserts, Beverages"
HSR,Quick Bites,"North Indian, Chinese, Arabian"
HSR,Casual Dining,"North Indian, South Indian, Chinese, Arabian"
Indiranagar,Cafe,"Cafe, Continental, Tea, Beverages, Desserts"
Koramangala 4th Block,Casual Dining,"Salad, Italian, Desserts, Pizza"
Electronic City,Quick Bites,"Kerala, Juices"
Brigade Road,Cafe,Cafe
Koramangala 1st Block,Bakery,"Bakery, Desserts"
Rajajinagar,Quick Bites,South Indian
Whitefield,Casual Dining,Chinese
BTM,Quick Bites,"Chinese, North Indian"
Sarjapur Road,Casual Dining,"Biryani, North Indian, Chinese"
Koramangala 7th Block,Quick Bites,"Fast Food, Burger"
Jayanagar,Casual Dining,"North Indian, Chinese, BBQ"
Brookefield,Quick Bites,Street Food
HSR,Quick Bites,"North Indian, Chinese"
Rajajinagar,Quick Bites,"Biryani, South Indian"
Bannerghatta Road,Quick Bites,"North Indian, Chinese"
Bannerghatta Road,Quick Bites,"Biryani, North Indian, Chinese"
Koramangala 4th Block,Quick Bites,North Indian
Bannerghatta Road,Casual Dining,"North Indian, Chinese, Fast Food, BBQ"
Whitefield,"Lounge, Bar","Continental, Chinese"
Koramangala 4th Block,Pub,"Chinese, Continental, North Indian"
HSR,Delivery,Burger
New BEL Road,Casual Dining,"Continental, Chinese"
Jayanagar,Quick Bites,"Fast Food, Street Food"
Church Street,Casual Dining,"Italian, American, Steak, Continental, BBQ, Salad"
Whitefield,Casual Dining,"North Indian, Chinese, Andhra, Biryani"
BTM,"Takeaway, Delivery",Fast Food
Kaggadasapura,Quick Bites,"BBQ, Rolls"
Electronic City,Casual Dining,"Andhra, South Indian"
Sarjapur Road,Quick Bites,"North Indian, Fast Food"
Koramangala 6th Block,"Takeaway, Delivery",Pizza
Richmond Road,Bar,"Finger Food, Fast Food, Continental"
St. Marks Road,Casual Dining,"Continental, American"
BTM,Quick Bites,"North Indian, South Indian, Chinese"
Bannerghatta Road,"Bakery, Quick Bites","Bakery, Desserts"
Malleshwaram,Casual Dining,"Continental, North Indian"
Bellandur,Quick Bites,Fast Food
Banaswadi,Quick Bites,"Arabian, Mughlai, Chinese, Kebab, Fast Food"
Whitefield,Casual Dining,"North Indian, Maharashtrian, South Indian"
Koramangala 5th Block,Quick Bites,Chinese
Brookefield,Cafe,"Cafe, Street Food"
Sarjapur Road,Quick Bites,"Healthy Food, Sandwich, Salad"
Jayanagar,Cafe,"Cafe, Continental, Sandwich, Beverages"
Electronic City,Casual Dining,"North Indian, Italian"
HSR,"Takeaway, Delivery",Fast Food
Koramangala 1st Block,Delivery,Continental
Hennur,Casual Dining,"South Indian, Andhra, Biryani"
Bellandur,Casual Dining,"North Indian, Biryani, Chinese"
Whitefield,Dhaba,North Indian
BTM,Quick Bites,"North Indian, Chinese"
Koramangala 2nd Block,Delivery,"Chinese, North Indian, Fast Food"
Church Street,Casual Dining,"North Indian, Mughlai"
Shanti Nagar,Casual Dining,"North Indian, Chinese"
JP Nagar,"Casual Dining, Bar","North Indian, Asian, Seafood, Chinese"
Banaswadi,Quick Bites,"Chinese, Fast Food"
JP Nagar,Casual Dining,"South Indian, North Indian, Chinese"
Marathahalli,"Takeaway, Delivery",Desserts
